,id,inspection_day,gender,age,area,income_degree,now_leisure_spend,willingness_to_spending,workday_leisure_avg,weekend_leisure_avg,one_week_total_leisure,rest_rcrt_rate,hobby_rate,self_impt_rate,human_relationship_rate,etc_rate
142,53337632,20221102,M,60대,대전광역시,700.0,비슷하다,증가할 것이다,4,6,32,30,50,0,20,0
143,53337681,20221102,F,60대,광주광역시,400.0,증가한 편이다,증가할 것이다,1,0,5,50,50,0,0,0
144,53337886,20221102,F,40대,충청남도,200.0,비슷하다,비슷할 것이다,2,2,14,100,0,0,0,0
145,53338157,20221102,M,40대,서울특별시,200.0,증가한 편이다,증가할 것이다,4,10,40,20,20,20,40,0
146,53338234,20221102,M,30대,경상남도,400.0,비슷하다,비슷할 것이다,0,4,8,50,0,50,0,0
147,53338310,20221102,M,50대,인천광역시,700.0,증가한 편이다,비슷할 것이다,5,10,45,40,10,10,40,0
149,53338608,20221102,M,20대,경상남도,600.0,증가한 편이다,증가할 것이다,4,10,40,15,45,5,35,0
150,53338725,20221102,M,30대,경기도,400.0,비슷하다,비슷할 것이다,1,4,13,20,20,0,60,0
151,53338734,20221102,M,30대,경기도,700.0,증가한 편이다,증가할 것이다,12,15,90,60,10,10,20,0
152,53338740,20221102,F,40대,전라북도,400.0,크게 증가했다,크게 증가할 것이다,3,0,15,50,0,50,0,0
153,53338991,20221102,F,20대,경상남도,600.0,크게 감소했다,증가할 것이다,3,12,39,30,5,5,60,0
154,53339100,20221102,F,30대,광주광역시,400.0,증가한 편이다,증가할 것이다,2,1,12,30,10,10,50,0
156,53339223,20221102,F,40대,부산광역시,200.0,증가한 편이다,비슷할 것이다,2,3,16,30,0,20,50,0
157,53339277,20221102,F,60대,경기도,200.0,비슷하다,증가할 것이다,2,3,16,30,20,0,50,0
158,53339481,20221102,M,50대,부산광역시,700.0,감소한 편이다,비슷할 것이다,4,10,40,10,80,0,10,0
159,53339543,20221102,F,60대,경기도,600.0,비슷하다,증가할 것이다,2,3,16,30,10,10,50,0
160,53339552,20221102,M,60대,경기도,400.0,비슷하다,증가할 것이다,1,7,19,55,10,10,20,5
161,53339584,20221102,F,30대,서울특별시,400.0,증가한 편이다,증가할 것이다,1,8,21,45,5,5,45,0
162,53339595,20221102,M,50대,서울특별시,600.0,감소한 편이다,감소할 것이다,2,10,30,25,25,25,25,0
163,53339632,20221102,M,20대,충청남도,200.0,비슷하다,증가할 것이다,6,10,50,70,20,0,10,0
164,53339723,20221102,F,30대,경기도,400.0,비슷하다,비슷할 것이다,2,5,20,60,5,30,5,0
165,53339895,20221102,F,40대,경상남도,600.0,증가한 편이다,증가할 것이다,1,8,21,80,0,0,20,0
166,53339983,20221102,M,30대,서울특별시,600.0,비슷하다,증가할 것이다,1,5,15,80,10,0,10,0
167,53339988,20221102,M,60대,경상북도,200.0,증가한 편이다,증가할 것이다,2,2,14,50,30,0,20,0
168,53340226,20221102,M,60대,강원도,200.0,증가한 편이다,증가할 것이다,2,4,18,20,30,20,30,0
169,53340349,20221102,F,50대,인천광역시,700.0,증가한 편이다,증가할 것이다,4,3,26,60,30,0,10,0
170,53340634,20221102,M,60대,대전광역시,600.0,증가한 편이다,증가할 것이다,2,4,18,20,30,30,20,0
171,53341067,20221102,M,30대,경상남도,600.0,비슷하다,비슷할 것이다,3,2,19,30,10,30,30,0
172,53341163,20221102,F,50대,인천광역시,700.0,비슷하다,증가할 것이다,2,8,26,80,0,0,20,0
173,53341176,20221102,M,40대,서울특별시,400.0,비슷하다,비슷할 것이다,2,8,26,80,10,5,5,0
174,53341228,20221102,M,20대,인천광역시,200.0,크게 증가했다,비슷할 것이다,12,12,84,80,0,0,20,0
175,53341303,20221102,M,30대,충청북도,400.0,감소한 편이다,감소할 것이다,2,3,16,80,20,0,0,0
176,53341315,20221102,F,40대,대전광역시,400.0,크게 감소했다,증가할 것이다,4,6,32,50,50,0,0,0
177,53341410,20221102,F,40대,광주광역시,600.0,비슷하다,비슷할 것이다,3,2,19,50,20,20,10,0
178,53341437,20221102,M,60대,서울특별시,600.0,비슷하다,비슷할 것이다,1,3,11,10,50,20,20,0
179,53341472,20221102,F,20대,인천광역시,400.0,비슷하다,비슷할 것이다,4,8,36,80,5,10,5,0
180,53341525,20221102,M,40대,인천광역시,400.0,증가한 편이다,증가할 것이다,1,2,9,60,20,10,10,0
181,53341546,20221102,M,40대,인천광역시,400.0,비슷하다,증가할 것이다,2,10,30,60,5,10,25,0
182,53341556,20221102,F,60대,경기도,600.0,증가한 편이다,비슷할 것이다,3,6,27,10,50,10,30,0
185,53341803,20221102,M,50대,대구광역시,700.0,증가한 편이다,증가할 것이다,3,5,25,30,20,20,30,0
186,53341828,20221102,M,40대,부산광역시,600.0,비슷하다,감소할 것이다,4,8,36,30,40,10,20,0
187,53341949,20221102,M,20대,서울특별시,200.0,증가한 편이다,증가할 것이다,2,6,22,5,5,40,50,0
188,53342267,20221102,F,60대,전라남도,200.0,감소한 편이다,감소할 것이다,1,6,17,20,20,20,30,10
189,53342459,20221102,M,30대,서울특별시,700.0,증가한 편이다,증가할 것이다,2,2,14,50,50,0,0,0
190,53342717,20221102,M,50대,인천광역시,200.0,감소한 편이다,증가할 것이다,3,10,35,50,20,10,20,0
191,53342793,20221102,F,60대,서울특별시,200.0,감소한 편이다,비슷할 것이다,3,5,25,20,20,40,20,0
192,53342892,20221102,F,40대,대구광역시,400.0,감소한 편이다,증가할 것이다,3,10,35,50,20,20,10,0
193,53342966,20221102,F,50대,경기도,600.0,비슷하다,증가할 것이다,4,10,40,30,10,10,50,0
194,53343013,20221102,F,40대,충청북도,600.0,증가한 편이다,비슷할 것이다,3,1,17,25,5,5,5,60
195,53343036,20221102,F,40대,대전광역시,200.0,비슷하다,비슷할 것이다,3,5,25,50,0,0,50,0
196,53343054,20221102,F,20대,경상남도,600.0,비슷하다,비슷할 것이다,3,7,29,60,15,5,20,0
197,53343066,20221102,M,40대,경기도,600.0,비슷하다,비슷할 것이다,2,3,16,30,30,10,30,0
198,53343242,20221102,M,20대,충청북도,200.0,증가한 편이다,비슷할 것이다,1,5,15,30,20,0,50,0
199,53343278,20221102,F,40대,경기도,600.0,증가한 편이다,비슷할 것이다,1,2,9,50,50,0,0,0
200,53343375,20221102,M,20대,경기도,400.0,감소한 편이다,증가할 것이다,1,5,15,50,30,10,10,0
201,53343447,20221102,F,30대,전라북도,700.0,비슷하다,크게 증가할 것이다,2,6,22,20,10,20,50,0
203,53343492,20221102,F,20대,인천광역시,200.0,증가한 편이다,증가할 것이다,3,5,25,10,70,0,20,0
204,53343658,20221102,F,60대,경상북도,200.0,감소한 편이다,크게 감소할 것이다,2,12,34,20,0,30,50,0
205,53343766,20221102,F,30대,경기도,200.0,증가한 편이다,증가할 것이다,4,8,36,10,5,5,80,0
206,53343866,20221102,M,40대,전라북도,400.0,비슷하다,비슷할 것이다,2,5,20,20,20,0,60,0
207,53343883,20221102,M,50대,전라북도,700.0,증가한 편이다,증가할 것이다,1,4,13,40,20,0,40,0
208,53343925,20221102,M,30대,대구광역시,400.0,비슷하다,비슷할 것이다,1,4,13,20,20,20,40,0
209,53343944,20221102,M,60대,경상북도,200.0,비슷하다,증가할 것이다,4,4,28,50,0,0,50,0
210,53344333,20221102,F,20대,부산광역시,400.0,감소한 편이다,감소할 것이다,2,9,28,80,0,0,20,0
211,53344518,20221102,M,50대,부산광역시,200.0,증가한 편이다,증가할 것이다,3,3,21,50,30,10,10,0
212,53344584,20221102,M,30대,울산광역시,400.0,증가한 편이다,비슷할 것이다,1,5,15,20,50,0,30,0
213,53344808,20221102,M,50대,서울특별시,700.0,비슷하다,증가할 것이다,3,5,25,10,70,10,10,0
215,53344902,20221102,M,40대,부산광역시,600.0,증가한 편이다,비슷할 것이다,4,8,36,20,20,10,50,0
216,53344920,20221102,F,50대,대전광역시,700.0,증가한 편이다,증가할 것이다,5,10,45,50,30,0,0,20
217,53345057,20221102,M,60대,강원도,700.0,증가한 편이다,증가할 것이다,2,6,22,20,50,0,30,0
218,53345162,20221102,F,30대,경상남도,200.0,증가한 편이다,증가할 것이다,16,16,112,50,10,10,30,0
219,53345211,20221102,F,40대,충청남도,400.0,비슷하다,비슷할 것이다,4,11,42,100,0,0,0,0
220,53345355,20221102,M,50대,경상북도,400.0,감소한 편이다,감소할 것이다,1,10,25,20,15,15,50,0
