RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53335248,20221130,F,40대,울산광역시,500이상700만원 미만,2,5,20,50,50,0,0,0
53335422,20221130,M,30대,경기도,500이상700만원 미만,2,5,20,30,15,5,50,0
53335445,20221130,M,40대,경상북도,500이상700만원 미만,2,5,20,30,5,20,45,0
53335569,20221130,M,50대,경상남도,500이상700만원 미만,4,6,32,10,50,10,30,0
53335786,20221130,F,30대,경상남도,300이상500만원 미만,0,3,6,50,0,0,50,0
53335830,20221130,F,20대,전라북도,300만원 미만,7,8,51,50,20,5,25,0
53335839,20221130,M,30대,경기도,500이상700만원 미만,3,12,39,20,0,0,80,0
53335858,20221130,F,20대,전라북도,무응답,2,6,22,90,10,0,0,0
53335879,20221130,F,40대,경상남도,300만원 미만,2,2,14,30,20,20,30,0
53335928,20221130,F,30대,경기도,500이상700만원 미만,3,10,35,40,30,10,20,0
53336078,20221130,F,60대,경상남도,300만원 미만,3,2,19,30,20,10,10,30
53336277,20221130,F,50대,경상북도,300이상500만원 미만,3,5,25,20,30,40,10,0
53336423,20221130,M,40대,서울특별시,500이상700만원 미만,1,5,15,30,20,20,30,0
53336506,20221130,F,20대,인천광역시,무응답,2,8,26,60,20,0,20,0
53336603,20221130,F,20대,대구광역시,500이상700만원 미만,8,13,66,50,30,15,5,0
53336791,20221130,F,60대,대구광역시,300만원 미만,4,6,32,25,20,25,30,0
53336824,20221130,F,60대,경기도,300만원 미만,4,8,36,30,0,20,50,0
53336836,20221130,M,60대,인천광역시,300이상500만원 미만,5,8,41,50,10,10,30,0
53336885,20221130,F,50대,강원도,700만원 이상,2,2,14,0,70,20,10,0
53337018,20221130,F,30대,경상남도,500이상700만원 미만,2,12,34,50,0,0,50,0
53337087,20221130,F,20대,제주특별자치도,300이상500만원 미만,3,3,21,80,0,0,20,0
53337126,20221130,F,40대,경기도,300만원 미만,7,7,49,30,10,30,30,0
53337413,20221130,F,50대,광주광역시,500이상700만원 미만,0,15,30,50,0,0,50,0
53337447,20221130,M,50대,부산광역시,500이상700만원 미만,2,6,22,40,20,30,10,0
53337528,20221130,F,40대,서울특별시,500이상700만원 미만,3,3,21,40,20,30,10,0
53337691,20221130,F,50대,서울특별시,300이상500만원 미만,2,3,16,50,10,30,10,0
53337881,20221130,M,40대,경기도,300만원 미만,10,11,72,95,5,0,0,0
53337961,20221130,F,60대,경상남도,300이상500만원 미만,5,5,35,20,50,20,10,0
53338411,20221130,F,50대,경기도,500이상700만원 미만,2,4,18,60,0,20,20,0
53338428,20221130,F,20대,경상남도,무응답,3,10,35,70,10,10,10,0
53338517,20221130,M,60대,부산광역시,300만원 미만,4,3,26,20,30,30,20,0
53338712,20221130,F,40대,충청남도,300만원 미만,2,5,20,50,10,30,10,0
53338890,20221130,M,40대,경기도,700만원 이상,2,2,14,50,30,20,0,0
53338904,20221130,F,30대,경기도,700만원 이상,2,3,16,60,0,0,40,0
53338964,20221130,F,20대,강원도,300만원 미만,4,6,32,60,0,0,40,0
53338970,20221130,M,40대,충청북도,300만원 미만,2,2,14,20,15,10,55,0
53338979,20221130,M,50대,서울특별시,500이상700만원 미만,2,4,18,0,70,0,30,0
53339036,20221130,M,50대,경기도,700만원 이상,1,3,11,50,30,0,20,0
53339154,20221130,F,30대,강원도,300이상500만원 미만,2,2,14,30,50,0,20,0
53339345,20221130,M,60대,인천광역시,500이상700만원 미만,1,3,11,30,40,10,20,0
53339456,20221130,F,50대,대전광역시,500이상700만원 미만,3,6,27,60,30,10,0,0
53339483,20221130,F,20대,경기도,300이상500만원 미만,4,7,34,30,20,0,50,0
53339508,20221130,F,40대,광주광역시,500이상700만원 미만,5,8,41,40,20,20,20,0
53339511,20221130,F,50대,경기도,700만원 이상,5,3,31,30,20,0,50,0
53339648,20221130,M,60대,경상북도,500이상700만원 미만,12,12,84,30,30,30,10,0
53339651,20221130,M,30대,부산광역시,700만원 이상,1,1,7,85,10,0,5,0
53339741,20221130,M,50대,대전광역시,300만원 미만,4,10,40,0,30,30,40,0
53339768,20221130,M,60대,충청북도,700만원 이상,1,8,21,70,10,0,20,0
53339941,20221130,F,50대,광주광역시,300이상500만원 미만,1,7,19,0,80,0,20,0
53339954,20221130,M,20대,경상남도,300만원 미만,4,8,36,100,0,0,0,0
53339980,20221130,F,40대,경기도,300만원 미만,6,9,48,25,15,50,10,0
53340053,20221130,M,50대,경상남도,무응답,6,4,38,30,40,0,0,30
53340093,20221130,F,30대,세종특별자치시,300만원 미만,1,1,7,90,0,0,10,0
53340146,20221130,F,40대,울산광역시,300이상500만원 미만,2,0,10,20,30,30,20,0
53340239,20221130,F,50대,전라남도,300만원 미만,2,5,20,0,0,0,100,0
53340297,20221130,F,50대,경기도,300만원 미만,2,6,22,60,0,0,40,0
53340326,20221130,F,60대,부산광역시,300이상500만원 미만,4,8,36,40,20,20,20,0
53340340,20221130,M,20대,울산광역시,300만원 미만,3,8,31,40,15,25,20,0
53340500,20221130,M,40대,경상북도,300이상500만원 미만,2,3,16,30,10,10,50,0
53340601,20221130,F,20대,대구광역시,300이상500만원 미만,2,2,14,80,10,5,5,0
53340606,20221130,M,60대,경기도,300이상500만원 미만,4,6,32,50,20,20,10,0
53340613,20221130,F,50대,강원도,500이상700만원 미만,4,4,28,80,0,20,0,0
53340755,20221130,F,40대,경상남도,300만원 미만,2,2,14,40,40,0,20,0
53340798,20221130,M,30대,부산광역시,300만원 미만,2,2,14,30,30,10,10,20
53340808,20221130,F,40대,부산광역시,700만원 이상,1,5,15,100,0,0,0,0
53340958,20221130,M,40대,경기도,500이상700만원 미만,3,6,27,60,5,10,10,15
53341079,20221130,M,40대,경기도,500이상700만원 미만,1,5,15,60,20,10,10,0
